INSTNM,CITY,STABBR,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT
Western Illinois University,Macomb,IL,40.468086,-90.686899,0.5878,1037,12951,12951
Wheaton College,Wheaton,IL,41.870176,-88.099643,0.8265,1340,36420,36420
William Rainey Harper College,Palatine,IL,42.081829,-88.072811,NULL,NULL,3684,11664
Ancilla College,Donaldson,IN,41.337958,-86.445263,0.6921,918,17550,17550
Anderson University,Anderson,IN,40.112768,-85.664315,0.6502,1094,30450,30450
Ball State University,Muncie,IN,40.203431,-85.409043,0.6478,NULL,9896,26468
Bethel University,Mishawaka,IN,41.678399,-86.194686,0.9233,1086,28590,28590
Butler University,Indianapolis,IN,39.8374,-86.172167,0.6783,1276,41120,41120
Calumet College of Saint Joseph,Whiting,IN,41.671008,-87.494123,NULL,NULL,19170,19170
Christian Theological Seminary,Indianapolis,IN,39.832673,-86.178551,NULL,NULL,NULL,NULL
College of Court Reporting Inc,Valparaiso,IN,41.467574,-87.066331,NULL,NULL,9050,9050
Concordia Theological Seminary,Fort Wayne,IN,41.139321,-85.10994,NULL,NULL,NULL,NULL
Tricoci University of Beauty Culture-Highland,Highland,IN,41.555885,-87.467018,NULL,NULL,NULL,NULL
DePauw University,Greencastle,IN,39.640904,-86.860363,0.626,1239,49704,49704
Don Roberts School of Hair Design,Schererville,IN,41.485532,-87.447089,NULL,NULL,NULL,NULL
Don Roberts Beauty School,Valparaiso,IN,41.472714,-87.077791,NULL,NULL,NULL,NULL
Earlham College,Richmond,IN,39.823431,-84.915037,0.6522,1294,46450,46450
University of Evansville,Evansville,IN,37.971549,-87.531644,0.6948,1203,36416,36416
Franklin College,Franklin,IN,39.478298,-86.047182,0.7544,1083,32010,32010
Goshen College,Goshen,IN,41.563582,-85.827795,0.6603,1124,33700,33700
Grace College and Theological Seminary,Winona Lake,IN,41.22595,-85.814228,0.8179,1148,24768,24768
Hanover College,Hanover,IN,38.715642,-85.460051,0.7934,1178,37670,37670
J Michael Harrold Beauty Academy,Terre Haute,IN,39.470359,-87.383391,NULL,NULL,NULL,NULL
Holy Cross College,Notre Dame,IN,41.698996,-86.253822,0.8827,1270,30700,30700
PJ's College of Cosmetology-Clarksville,Clarksville,IN,38.3121,-85.768914,NULL,NULL,NULL,NULL
Huntington University,Huntington,IN,40.898152,-85.497317,0.8319,1102,26158,26158
Ivy Tech Community College,Indianapolis,IN,39.803753,-86.158213,NULL,NULL,4368,8402
Purdue University Fort Wayne,Fort Wayne,IN,41.117278,-85.108962,0.9661,1080,8450,20288
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,39.772948,-86.172217,0.8112,1111,9465,29821
University of Indianapolis,Indianapolis,IN,39.709571,-86.133969,0.6891,1098,29688,29688
Indiana Institute of Technology,Fort Wayne,IN,41.078365,-85.116479,0.6318,1013,26900,26900
University of Southern Indiana,Evansville,IN,37.962374,-87.677214,0.9458,1094,8349,19436
Indiana State University,Terre Haute,IN,39.469073,-87.407846,0.8991,1019,9090,19836
Indiana University-Kokomo,Kokomo,IN,40.460062,-86.132048,0.7999,1047,7344,19400
Indiana University-South Bend,South Bend,IN,41.665324,-86.221991,0.819,1033,7344,19400
Indiana University-Bloomington,Bloomington,IN,39.16609,-86.526559,0.7691,1275,10681,35456
Indiana University-Northwest,Gary,IN,41.557324,-87.337249,0.7961,1022,7344,19400
Indiana University-Southeast,New Albany,IN,38.345191,-85.819985,0.8508,1050,7344,19400
Indiana University-East,Richmond,IN,39.868707,-84.881923,0.6488,1037,7344,19400
International Business College-Fort Wayne,Fort Wayne,IN,41.035006,-85.257786,0.6627,NULL,13960,13960
International Business College-Indianapolis,Indianapolis,IN,39.885628,-86.041648,0.772,NULL,13960,13960
Taylor Institute of Cosmetology,Knox,IN,41.287712,-86.618158,NULL,NULL,NULL,NULL
Tricoci University of Beauty Culture-Lafayette,Lafayette,IN,40.419818,-86.887007,NULL,NULL,NULL,NULL
Empire Beauty School-Indianapolis,Indianapolis,IN,39.666467,-86.100614,NULL,NULL,NULL,NULL
Lincoln College of Technology-Indianapolis,Indianapolis,IN,39.884503,-86.246276,NULL,NULL,NULL,NULL
Manchester University,North Manchester,IN,41.010549,-85.762643,0.5932,NULL,32758,32758
Marian University,Indianapolis,IN,39.813233,-86.202643,0.6138,1125,34000,34000
Indiana Wesleyan University-Marion,Marion,IN,40.517937,-85.667503,0.6829,1139,26630,26630
Martin University,Indianapolis,IN,39.798144,-86.103953,NULL,NULL,13200,13200
Anabaptist Mennonite Biblical Seminary,Elkhart,IN,41.656013,-85.972165,NULL,NULL,NULL,NULL
Mid-America College of Funeral Service,Jeffersonville,IN,38.31209,-85.744696,NULL,NULL,11900,11900
West Michigan College of Barbering and Beauty,Kalamazoo,MI,42.259329,-85.590244,NULL,NULL,NULL,NULL
University of Notre Dame,Notre Dame,IN,41.703058,-86.238959,0.1771,1502,53391,53391
Oakland City University,Oakland City,IN,38.340891,-87.35144,0.497,1013,24000,24000
PJ's College of Cosmetology-Richmond,Richmond,IN,39.83227,-84.842601,NULL,NULL,NULL,NULL
Ravenscroft Beauty College,Fort Wayne,IN,41.121802,-85.046078,NULL,NULL,NULL,NULL
Rogers Academy of Hair Design,Evansville,IN,37.983756,-87.609744,NULL,NULL,NULL,NULL
Rose-Hulman Institute of Technology,Terre Haute,IN,39.483602,-87.326749,0.682,1387,49871,49871
University of Saint Francis-Fort Wayne,Fort Wayne,IN,41.087205,-85.177246,0.9342,1062,30430,30430
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,39.508546,-87.463791,0.721,1027,29960,29960
Saint Mary's College,Notre Dame,IN,41.707274,-86.256947,0.819,1186,42220,42220
Saint Meinrad School of Theology,St. Meinrad,IN,38.165546,-86.810388,NULL,NULL,NULL,NULL
Saint Elizabeth School of Nursing,Lafayette,IN,40.427401,-86.88083,1,922,19948,19948
Taylor University,Upland,IN,40.456246,-85.497034,0.7764,1211,34114,34114
Trine University,Angola,IN,41.632502,-85.008009,0.734,1144,32176,32176
Valparaiso University,Valparaiso,IN,41.462239,-87.040172,0.8931,1204,40260,40260
Vincennes Beauty College,Vincennes,IN,38.679739,-87.53241,NULL,NULL,NULL,NULL
Vincennes University,Vincennes,IN,38.687766,-87.519939,NULL,NULL,5902,13959
Wabash College,Crawfordsville,IN,40.037588,-86.906,0.6497,1223,43650,43650
Allen College,Waterloo,IA,42.530084,-92.340148,NULL,NULL,18662,18662
Briar Cliff University,Sioux City,IA,42.526443,-96.428444,NULL,NULL,30970,30970
Buena Vista University,Storm Lake,IA,42.642255,-95.208529,0.5713,1094,34004,34004
Capri College-Dubuque,Dubuque,IA,42.497357,-90.665565,NULL,NULL,NULL,NULL
Capri College-Cedar Rapids,Cedar Rapids,IA,41.960734,-91.710201,NULL,NULL,NULL,NULL
Central College,Pella,IA,41.401539,-92.922199,0.6999,1156,37296,37296
Clarke University,Dubuque,IA,42.509475,-90.690487,0.8248,1058,33350,33350
Coe College,Cedar Rapids,IA,41.988263,-91.658192,0.6693,1211,44050,44050
Cornell College,Mount Vernon,IA,41.924554,-91.423741,0.6102,1240,42299,42299
Iowa School of Beauty-Marshalltown,Marshalltown,IA,42.015283,-92.915054,NULL,NULL,NULL,NULL
Des Moines Area Community College,Ankeny,IA,41.707348,-93.611597,NULL,NULL,4680,9360
Divine Word College,Epworth,IA,42.441721,-90.934578,1,NULL,13160,13160
Dordt University,Sioux Center,IA,43.082527,-96.166562,0.7316,1219,30840,30840
Drake University,Des Moines,IA,41.60129,-93.652163,0.6766,1278,41396,41396
University of Dubuque,Dubuque,IA,42.49726,-90.693428,0.7303,998,34110,34110
Ellsworth Community College,Iowa Falls,IA,42.527524,-93.265853,NULL,NULL,4776,5712
Emmaus Bible College,Dubuque,IA,42.508307,-90.706011,0.9492,1120,18400,18400
Eastern Iowa Community College District,Davenport,IA,41.522179,-90.574459,NULL,NULL,5184,7328
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,41.737082,-93.624422,0.6229,1101,16876,16876
Faust Institute of Cosmetology-Storm Lake,Storm Lake,IA,42.654449,-95.201412,NULL,NULL,NULL,NULL
Graceland University-Lamoni,Lamoni,IA,40.615966,-93.924893,0.5806,1056,29240,29240
Grand View University,Des Moines,IA,41.620813,-93.604352,0.9198,1060,27608,27608
Grinnell College,Grinnell,IA,41.747952,-92.722094,0.2438,1450,52392,52392
Purdue University Global-Mason City,Mason City,IA,43.149615,-93.238946,NULL,NULL,14343,14343
Purdue University Global-Cedar Rapids,Cedar Rapids,IA,41.949597,-91.713507,NULL,NULL,14343,14343
Hamilton Technical College,Davenport,IA,41.573888,-90.560088,NULL,NULL,14250,14250
Hawkeye Community College,Waterloo,IA,42.430003,-92.330633,NULL,NULL,5311,6021
American Hair Academy,Mt. Pleasant,IA,40.962643,-91.524949,NULL,NULL,NULL,NULL
Indian Hills Community College,Ottumwa,IA,41.045105,-92.394736,NULL,NULL,4224,5760
Iowa Central Community College,Fort Dodge,IA,42.490067,-94.20299,NULL,NULL,5490,7890
Iowa Lakes Community College,Estherville,IA,43.401376,-94.835661,NULL,NULL,6460,6812
UnityPoint Health-Des Moines School of Radiologic Technology,Des Moines,IA,41.590094,-93.635129,NULL,NULL,NULL,NULL
American College of Hairstyling-Des Moines,Des Moines,IA,41.592324,-93.610159,NULL,NULL,NULL,NULL
Iowa School of Beauty-Des Moines,Des Moines,IA,41.624684,-93.711628,NULL,NULL,NULL,NULL
Iowa State University,Ames,IA,42.026212,-93.648504,0.906,1219,8988,23392
Iowa Wesleyan University,Mount Pleasant,IA,40.973791,-91.552459,0.5802,1044,24600,30500
Iowa Western Community College,Council Bluffs,IA,41.272168,-95.797975,NULL,NULL,5952,6112
University of Iowa,Iowa City,IA,41.661935,-91.536425,0.8267,1233,9267,31233
Kirkwood Community College,Cedar Rapids,IA,41.911268,-91.651172,NULL,NULL,4832,6120
La James International College-Cedar Falls,Cedar Falls,IA,42.515026,-92.434496,NULL,NULL,NULL,NULL
La James International College-Johnston,Johnston,IA,41.661015,-93.738577,NULL,NULL,NULL,NULL
La James College of Hairstyling and Cosmetology,Mason City,IA,43.153786,-93.199881,NULL,NULL,NULL,NULL
La James International College-Ft Dodge,Fort Dodge,IA,42.5005,-94.163856,NULL,NULL,NULL,NULL
Loras College,Dubuque,IA,42.503908,-90.679023,0.9268,1113,34184,34184
Luther College,Decorah,IA,43.312304,-91.802809,0.6257,1236,42290,42290
Maharishi University of Management,Fairfield,IA,41.017781,-91.967306,1,NULL,16530,16530
Marshalltown Community College,Marshalltown,IA,42.00065,-92.909411,NULL,NULL,4776,5112
Mercy College of Health Sciences,Des Moines,IA,41.594559,-93.626238,0.9505,NULL,17952,17952
Morningside College,Sioux City,IA,42.473891,-96.359464,0.5758,1135,31530,31530
Mount Mercy University,Cedar Rapids,IA,42.001931,-91.650991,0.6281,1120,31998,31998
Ashford University,San Diego,CA,32.8273,-117.141961,NULL,NULL,12160,12160
North Iowa Area Community College,Mason City,IA,43.157169,-93.13126,NULL,NULL,5408,7721
University of Northern Iowa,Cedar Falls,IA,42.514923,-92.459703,0.8074,1169,8938,19480
Northwestern College,Orange City,IA,42.999007,-96.058772,0.7143,1183,31100,31100
Northeast Iowa Community College,Calmar,IA,43.17523,-91.867105,NULL,NULL,5820,6420
Northwest Iowa Community College,Sheldon,IA,43.184701,-95.880639,NULL,NULL,6120,6420
Des Moines University-Osteopathic Medical Center,Des Moines,IA,41.583325,-93.661686,NULL,NULL,NULL,NULL
Iowa School of Beauty-Ottumwa,Ottumwa,IA,41.02334,-92.417948,NULL,NULL,NULL,NULL
Palmer College of Chiropractic,Davenport,IA,41.529021,-90.574607,NULL,NULL,9225,9225
PCI Academy-Ames,Ames,IA,41.99767,-93.613611,NULL,NULL,NULL,NULL
Saint Ambrose University,Davenport,IA,41.54065,-90.579854,0.6269,1132,30894,30894
St Luke's College,Sioux City,IA,42.520081,-96.404724,1,NULL,20440,20440
La James International College-Davenport,Davenport,IA,41.572861,-90.5682,NULL,NULL,NULL,NULL
La James International College-Iowa City,Iowa City,IA,41.663433,-91.532038,NULL,NULL,NULL,NULL
Simpson College,Indianola,IA,41.365503,-93.563471,0.8423,1136,39144,39144
Southeastern Community College,West Burlington,IA,40.814496,-91.171881,NULL,NULL,5580,5730
Southwestern Community College,Creston,IA,41.073437,-94.380906,NULL,NULL,5888,6112
Capri College-Davenport,Davenport,IA,41.575211,-90.538828,NULL,NULL,NULL,NULL
Iowa School of Beauty-Sioux City,Sioux City,IA,42.441812,-96.365842,NULL,NULL,NULL,NULL
E Q School of Hair Design,Council Bluffs,IA,41.235617,-95.858073,NULL,NULL,NULL,NULL
Upper Iowa University,Fayette,IA,42.838283,-91.799543,0.5047,1063,30450,30450
Waldorf University,Forest City,IA,43.262923,-93.641714,0.7544,1028,22076,22076
Wartburg College,Waverly,IA,42.7277,-92.483387,0.7571,1143,41280,41280
Wartburg Theological Seminary,Dubuque,IA,42.485761,-90.691225,NULL,NULL,NULL,NULL
The Salon Professional Academy-Cedar Falls,Cedar Falls,IA,42.511022,-92.433262,NULL,NULL,NULL,NULL
Western Iowa Tech Community College,Sioux City,IA,42.482953,-96.348874,NULL,NULL,4272,4296
William Penn University,Oskaloosa,IA,41.310111,-92.647095,0.5524,NULL,25600,25600
Allen County Community College,Iola,KS,37.938038,-95.396377,NULL,NULL,3808,3808
Baker University,Baldwin City,KS,38.777278,-95.188231,0.8765,1126,29830,29830
Barton County Community College,Great Bend,KS,38.403529,-98.731648,NULL,NULL,3584,3584
Benedictine College,Atchison,KS,39.572646,-95.111473,0.9284,1194,29530,29530
Bethany College,Lindsborg,KS,38.580598,-97.67367,0.6776,1035,27850,27850
Bethel College-North Newton,North Newton,KS,38.075169,-97.343256,0.441,1077,28540,28540
Butler Community College,El Dorado,KS,37.806699,-96.882987,NULL,NULL,3180,5310
Central Christian College of Kansas,McPherson,KS,38.357978,-97.668597,NULL,NULL,20350,20350
Cloud County Community College,Concordia,KS,39.554199,-97.664147,NULL,NULL,3090,3480
Coffeyville Community College,Coffeyville,KS,37.033814,-95.621374,NULL,NULL,2304,3872
Colby Community College,Colby,KS,39.377601,-101.052744,NULL,NULL,3608,5298
Cowley County Community College,Arkansas City,KS,37.061668,-97.043075,NULL,NULL,3000,4170
Dodge City Community College,Dodge City,KS,37.776891,-100.037481,NULL,NULL,2130,3630
Donnelly College,Kansas City,KS,39.112256,-94.650677,NULL,NULL,7260,7260
Emporia State University,Emporia,KS,38.414784,-96.179021,0.8532,1118,6758,20675
Flint Hills Technical College,Emporia,KS,38.41888,-96.224141,NULL,NULL,6040,6040
Fort Hays State University,Hays,KS,38.872156,-99.342503,0.9229,NULL,5130,15210
Barclay College,Haviland,KS,37.62012,-99.105351,0.4578,NULL,19000,19000
Friends University,Wichita,KS,37.678459,-97.367048,0.4735,1078,28415,28415
Fort Scott Community College,Fort Scott,KS,37.816206,-94.715334,NULL,NULL,2880,3330
Garden City Community College,Garden City,KS,37.970151,-100.848082,NULL,NULL,3240,3810
Haskell Indian Nations University,Lawrence,KS,38.938834,-95.232879,0.676,961,480,480
Hays Academy of Hair Design,Hays,KS,38.884873,-99.310623,NULL,NULL,NULL,NULL
Hesston College,Hesston,KS,38.134558,-97.433883,NULL,NULL,26900,26900
Highland Community College,Highland,KS,39.859987,-95.271539,NULL,NULL,3077,3625
Hutchinson Community College,Hutchinson,KS,38.068035,-97.92135,NULL,NULL,3200,4512
Independence Community College,Independence,KS,37.195614,-95.720518,NULL,NULL,4040,4443
Johnson County Community College,Overland Park,KS,38.924125,-94.727798,NULL,NULL,2790,6600
Concorde Career College-Kansas City,Kansas City,MO,39.06799,-94.589819,0.9514,NULL,NULL,NULL
Kansas City Kansas Community College,Kansas City,KS,39.121911,-94.748061,NULL,NULL,3120,6510
Kansas Christian College,Overland Park,KS,38.994848,-94.666878,NULL,NULL,7690,7690
University of Kansas,Lawrence,KS,38.958549,-95.247567,0.9171,1250,11148,27358
Newman University,Wichita,KS,37.672643,-97.37768,0.6182,1143,30750,30750
Old Town Barber College-Wichita,Wichita,KS,37.68586,-97.323179,NULL,NULL,NULL,NULL
Kansas State University,Manhattan,KS,39.188648,-96.581077,0.934,NULL,10383,25887
Kansas Wesleyan University,Salina,KS,38.813795,-97.607973,0.4681,1115,29500,29500
Washburn Institute of Technology,Topeka,KS,39.04497,-95.751158,0.597,NULL,7632,7632
Labette Community College,Parsons,KS,37.339062,-95.255368,NULL,NULL,3060,3810
Manhattan Area Technical College,Manhattan,KS,39.197774,-96.615672,NULL,NULL,6750,6750
Manhattan Christian College,Manhattan,KS,39.184806,-96.579383,0.5812,1115,16260,16260
McPherson College,McPherson,KS,38.371422,-97.642996,0.7709,1084,28951,28951
MidAmerica Nazarene University,Olathe,KS,38.875615,-94.781635,0.5853,1104,29736,29736
Neosho County Community College,Chanute,KS,37.670672,-95.464976,NULL,NULL,4794,4794
North Central Kansas Technical College,Beloit,KS,39.482419,-98.110826,NULL,NULL,6144,6144
Northwest Kansas Technical College,Goodland,KS,39.346424,-101.70022,NULL,NULL,NULL,NULL
Ottawa University-Ottawa,Ottawa,KS,38.603173,-95.264187,0.7815,1024,30050,30050
Ottawa University-Kansas City,Overland Park,KS,38.932055,-94.635461,NULL,NULL,NULL,NULL
Pittsburg State University,Pittsburg,KS,37.392071,-94.702473,0.8958,1150,7298,18642
Pratt Community College,Pratt,KS,37.654451,-98.714538,NULL,NULL,3488,4040
University of Saint Mary,Leavenworth,KS,39.279396,-94.906743,0.6135,1083,28810,28810
Salina Area Technical College,Salina,KS,38.793582,-97.636892,NULL,NULL,8502,8502
Seward County Community College,Liberal,KS,37.059807,-100.917695,NULL,NULL,3168,4384
Southwestern College,Winfield,KS,37.248608,-96.975405,0.5553,1050,30150,30150
Sterling College,Sterling,KS,38.219937,-98.208644,0.4052,1039,26000,26000
Tabor College,Hillsboro,KS,38.348606,-97.200949,0.5748,1066,28260,28260
Washburn University,Topeka,KS,39.033778,-95.702222,NULL,NULL,8312,18560
Wichita State University-Campus of Applied Sciences and Technology,Wichita,KS,37.75764,-97.224151,NULL,NULL,6037,6878
Wichita State University,Wichita,KS,37.718882,-97.292361,0.965,1152,8270,17452
Wichita Technical Institute,Wichita,KS,37.656976,-97.371819,NULL,NULL,NULL,NULL
Alice Lloyd College,Pippa Passes,KY,37.335087,-82.875068,0.2778,1054,11550,11550
Asbury University,Wilmore,KY,37.862029,-84.662606,0.6676,NULL,30198,30198
Asbury Theological Seminary,Wilmore,KY,37.861561,-84.660127,NULL,NULL,NULL,NULL
Ashland Community and Technical College,Ashland,KY,38.469201,-82.650664,NULL,NULL,4248,14400
Barrett and Company School of Hair Design,Nicholasville,KY,37.866361,-84.580326,NULL,NULL,NULL,NULL
Bellarmine University,Louisville,KY,38.219279,-85.704997,0.8584,1211,42200,42200
Berea College,Berea,KY,37.57202,-84.292893,0.382,1192,39990,39990
PJ's College of Cosmetology-Bowling Green,Bowling Green,KY,36.979195,-86.469756,NULL,NULL,NULL,NULL
Southcentral Kentucky Community and Technical College,Bowling Green,KY,36.984827,-86.476717,NULL,NULL,4248,14400
Brescia University,Owensboro,KY,37.769041,-87.111639,0.3855,1118,22100,22100
Campbellsville University,Campbellsville,KY,37.343342,-85.348943,0.8334,1082,25400,25400
Bluegrass Community and Technical College,Lexington,KY,38.024808,-84.503665,NULL,NULL,4328,14480
Centre College,Danville,KY,37.645709,-84.779392,0.7306,1354,41700,41700
Clear Creek Baptist Bible College,Pineville,KY,36.725236,-83.727702,NULL,NULL,9440,9440
Paul Mitchell the School-Lexington,Lexington,KY,37.980361,-84.548281,NULL,NULL,NULL,NULL
Galen College of Nursing-Louisville,Louisville,KY,38.277005,-85.695972,NULL,NULL,NULL,NULL
University of the Cumberlands,Williamsburg,KY,36.737048,-84.161646,0.733,1141,23000,23000
Eastern Kentucky University,Richmond,KY,37.740845,-84.300796,0.8729,1147,9666,19444
Elizabethtown Community and Technical College,Elizabethtown,KY,37.692858,-85.879927,NULL,NULL,4248,14400
Frontier Nursing University,Hyden,KY,37.165605,-83.37937,NULL,NULL,NULL,NULL
Georgetown College,Georgetown,KY,38.207615,-84.553767,0.4795,1146,38650,38650
PJ's College of Cosmetology-Glasgow,Glasgow,KY,37.012713,-85.922275,NULL,NULL,NULL,NULL
Hazard Community and Technical College,Hazard,KY,37.234897,-83.175644,NULL,NULL,4248,14400
Paul Mitchell the School-Louisville,Louisville,KY,38.24897,-85.578849,NULL,NULL,NULL,NULL
Henderson Community College,Henderson,KY,37.797687,-87.650091,NULL,NULL,4248,14400
Hopkinsville Community College,Hopkinsville,KY,36.882654,-87.488297,NULL,NULL,4248,14400
Jefferson Community and Technical College,Louisville,KY,38.246027,-85.753615,NULL,NULL,4328,14480
Summit Salon Academy-Lexington,Lexington,KY,38.028451,-84.453521,NULL,NULL,NULL,NULL
American National University-Lexington,Lexington,KY,38.026996,-84.421099,NULL,NULL,17361,17361
Kentucky Mountain Bible College,Jackson,KY,37.603443,-83.438765,0.4906,1032,9460,9460
Kentucky State University,Frankfort,KY,38.201427,-84.855402,0.7217,937,8090,19390
Kentucky Wesleyan College,Owensboro,KY,37.744489,-87.119658,0.6416,1115,26160,26160
University of Kentucky,Lexington,KY,38.038911,-84.504747,0.9448,1239,12245,29099
Kentucky Christian University,Grayson,KY,38.338805,-82.945561,0.3744,1016,19256,19256
Lexington Theological Seminary,Lexington,KY,37.996332,-84.526079,NULL,NULL,NULL,NULL
Lindsey Wilson College,Columbia,KY,37.101502,-85.299997,NULL,NULL,24850,24850
University of Louisville,Louisville,KY,38.216862,-85.760412,0.7243,1227,11656,27278
Louisville Presbyterian Theological Seminary,Louisville,KY,38.237056,-85.686411,NULL,NULL,NULL,NULL
Madisonville Community College,Madisonville,KY,37.362661,-87.512137,NULL,NULL,4248,14400
Maysville Community and Technical College,Maysville,KY,38.626607,-83.806786,NULL,NULL,4248,14400
Midway University,Midway,KY,38.146126,-84.678142,0.6059,1081,24750,24750
Morehead State University,Morehead,KY,38.186768,-83.434021,0.7926,1150,9070,13546
Murray State University,Murray,KY,36.612419,-88.323629,0.8142,1180,9084,24540
Gateway Community and Technical College,Florence,KY,38.960638,-84.633478,NULL,NULL,4328,14480
Northern Kentucky University,Highland Heights,KY,39.029714,-84.463483,0.8926,1148,10032,19680
West Kentucky Community and Technical College,Paducah,KY,37.054081,-88.658762,NULL,NULL,4248,14400
University of Pikeville,Pikeville,KY,37.479232,-82.521063,NULL,NULL,20950,20950
Big Sandy Community and Technical College,Prestonsburg,KY,37.688248,-82.778847,NULL,NULL,4248,14400
Empire Beauty School-Chenoweth,Louisville,KY,38.255764,-85.65752,NULL,NULL,NULL,NULL
Empire Beauty School-Elizabethtown,Elizabethtown,KY,37.697453,-85.878557,NULL,NULL,NULL,NULL
Empire Beauty School-Dixie,Louisville,KY,38.167059,-85.830866,NULL,NULL,NULL,NULL
Empire Beauty School-Florence,Florence,KY,39.009553,-84.628998,NULL,NULL,NULL,NULL
Somerset Community College,Somerset,KY,37.059599,-84.617546,NULL,NULL,4248,14400
Southeast Kentucky Community and Technical College,Cumberland,KY,36.966051,-82.997661,NULL,NULL,4248,14400
The Southern Baptist Theological Seminary,Louisville,KY,38.248216,-85.687649,0.673,1108,20433,20433
Spalding University,Louisville,KY,38.242407,-85.757725,0.9595,1065,24500,24500
Sullivan University,Louisville,KY,38.212824,-85.670489,NULL,NULL,12870,12870
Thomas More University,Crestview Hills,KY,39.022963,-84.568923,0.9003,1099,31200,31200
Transylvania University,Lexington,KY,38.052983,-84.493202,0.8881,1275,38750,38750
Trend Setters' Academy of Beauty Culture-Louisville,Louisville,KY,38.144782,-85.838494,NULL,NULL,NULL,NULL
Union College,Barbourville,KY,36.870875,-83.888477,0.5634,1056,27140,27140
Western Kentucky University,Bowling Green,KY,36.985035,-86.456828,0.9721,1162,10512,26280
Central Louisiana Technical Community College,Alexandria,LA,31.310253,-92.446384,NULL,NULL,4098,8208
Ayers Career College,Shreveport,LA,32.418291,-93.798229,NULL,NULL,NULL,NULL
Baton Rouge General Medical Center-School of Nursing,Baton Rouge,LA,30.449088,-91.153084,NULL,NULL,NULL,NULL
Baton Rouge School of Computers,Baton Rouge,LA,30.422155,-91.080837,NULL,NULL,NULL,NULL
Bossier Parish Community College,Bossier City,LA,32.539551,-93.646881,NULL,NULL,4079,8589
Centenary College of Louisiana,Shreveport,LA,32.483335,-93.730834,0.5969,1173,36580,36580
Cloyd's Beauty School 1 Inc,West Monroe,LA,32.499976,-92.126506,NULL,NULL,NULL,NULL
Crescent City Bartending School,New Orleans,LA,29.966842,-90.086679,NULL,NULL,NULL,NULL
D'Jay's Institute of Cosmetology and Esthiology,Baton Rouge,LA,30.462232,-91.071568,NULL,NULL,NULL,NULL
Delgado Community College,New Orleans,LA,29.985149,-90.103962,NULL,NULL,4079,8368
Avery James School of Cosmetology,Lake Charles,LA,30.202601,-93.219712,NULL,NULL,NULL,NULL
Denham Springs Beauty School,Denham Springs,LA,30.484636,-90.944774,NULL,NULL,NULL,NULL
Dillard University,New Orleans,LA,29.996587,-90.06464,0.6071,NULL,17918,17918
Nunez Community College,Chalmette,LA,29.95419,-89.95888,NULL,NULL,4175,7674
Grambling State University,Grambling,LA,32.523797,-92.713245,0.9475,944,7435,16458
Guy's Shreveport Academy of Cosmetology Inc,Shreveport,LA,32.485759,-93.706628,NULL,NULL,NULL,NULL
ITI Technical College,Baton Rouge,LA,30.369764,-91.030485,NULL,NULL,11156,11156
John Jay Beauty College,Kenner,LA,30.007684,-90.230259,NULL,NULL,NULL,NULL
Louisiana State University Health Sciences Center-New Orleans,New Orleans,LA,29.957272,-90.083145,NULL,NULL,NULL,NULL
Louisiana State University-Alexandria,Alexandria,LA,31.178616,-92.414409,0.5645,1050,6668,14024
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,30.414986,-91.178921,0.7423,1242,11950,28627
Louisiana State University-Eunice,Eunice,LA,30.473292,-92.434523,NULL,NULL,4730,10094
Louisiana State University-Shreveport,Shreveport,LA,32.428465,-93.70561,0.8652,1133,7327,20481
Aveda Arts & Sciences Institute-Baton Rouge,Baton Rouge,LA,30.426526,-91.054308,NULL,NULL,NULL,NULL
Aveda Arts & Sciences Institute-Lafayette,Lafayette,LA,30.206168,-92.042092,NULL,NULL,NULL,NULL
Louisiana Academy of Beauty,Eunice,LA,30.495111,-92.408948,NULL,NULL,NULL,NULL
Louisiana College,Pineville,LA,31.324528,-92.425973,0.7847,1084,17000,17000
Opelousas School of Cosmetology,Opelousas,LA,30.53165,-92.077854,NULL,NULL,NULL,NULL
Louisiana Tech University,Ruston,LA,32.528297,-92.649963,0.6307,1219,9645,18558
Loyola University New Orleans,New Orleans,LA,29.936141,-90.120417,0.9431,1192,39942,39942
McNeese State University,Lake Charles,LA,30.178187,-93.217222,0.7032,1127,7860,15898
University of New Orleans,New Orleans,LA,30.027704,-90.067142,0.5726,1136,8771,13607
New Orleans Baptist Theological Seminary,New Orleans,LA,30.004336,-90.043439,NULL,NULL,8620,8620
Nicholls State University,Thibodaux,LA,29.794486,-90.801571,0.937,1117,7952,9045
University of Louisiana at Monroe,Monroe,LA,32.527748,-92.07374,0.7101,1135,8554,20654
Northwest Louisiana Technical College,Minden,LA,32.586037,-93.26302,NULL,NULL,2976,2976
Northwestern State University of Louisiana,Natchitoches,LA,31.750666,-93.097797,0.8198,1102,7922,18710
University of Holy Cross,New Orleans,LA,29.912003,-89.99445,0.3534,NULL,14180,14180
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,30.401379,-91.110587,0.592,1120,13287,13287
