INSTNM,CITY,STABBR,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT
Remington College-Shreveport Campus,Shreveport,LA,32.403166,-93.793578,NULL,NULL,15786,15786
National American University-Austin,Austin,TX,30.437732,-97.696742,NULL,NULL,15000,15000
National American University-Wichita,Wichita,KS,37.722498,-97.251731,NULL,NULL,15000,15000
Fortis College-Landover,Landover,MD,38.949933,-76.866393,NULL,NULL,14911,14911
Jenny Lea Academy of Cosmetology,Johnson City,TN,36.32439,-82.354566,NULL,NULL,NULL,NULL
The Hair Academy,Bismarck,ND,46.805857,-100.76032,NULL,NULL,NULL,NULL
Ross Medical Education Center-New Baltimore,New Baltimore,MI,42.677429,-82.751334,NULL,NULL,NULL,NULL
Ross College-Sylvania,Sylvania,OH,41.714006,-83.680536,NULL,NULL,NULL,NULL
Escuela De Troqueleria Y Herramentaje,Bayamon,PR,18.374732,-66.143939,NULL,NULL,1040,1040
Fortis Institute-Nashville,Nashville,TN,36.084542,-86.696299,NULL,NULL,15234,15234
ATA College - Cincinnati,Cincinnati,OH,39.29671,-84.478867,NULL,NULL,13295,13295
Elite Welding Academy LLC,Cincinnati,OH,39.313738,-84.468434,NULL,NULL,NULL,NULL
Galen College of Nursing-Cincinnati,Cincinnati,OH,39.283693,-84.365946,NULL,NULL,NULL,NULL
Pinnacle Career Institute-North Kansas City,Kansas City,MO,39.301199,-94.684474,NULL,NULL,NULL,NULL
Strayer University-North Carolina,Morrisville,NC,35.86546,-78.822452,NULL,NULL,13380,13380
Strayer University-New Jersey,Cherry Hill,NJ,39.939316,-75.015401,NULL,NULL,13380,13380
American National University-Dayton,Kettering,OH,39.70112,-84.12734,NULL,NULL,17361,17361
The Ohio Media School-Columbus,Columbus,OH,39.955294,-82.8554,NULL,NULL,NULL,NULL
Ohio Medical Career College,Dayton,OH,39.742339,-84.195816,NULL,NULL,NULL,NULL
The King's College,New York,NY,40.706677,-74.012342,0.5382,1237,36450,36450
Chamberlain University-Illinois,Addison,IL,41.949727,-88.038558,0.775,NULL,19375,19375
Chamberlain University-Ohio,Columbus,OH,39.940449,-82.940493,0.7059,NULL,19375,19375
Chamberlain University-Arizona,Phoenix,AZ,33.56573,-112.104421,0.2727,NULL,19375,19375
Career Quest Learning Centers-Jackson,Jackson,MI,42.245222,-84.402897,NULL,NULL,NULL,NULL
Bryan University,Rogers,AR,36.334163,-94.17008,NULL,NULL,15433,15433
The Salon Professional Academy-Appleton,Appleton,WI,44.26019,-88.457898,NULL,NULL,NULL,NULL
Milan Institute of Cosmetology-Fairfield,Fairfield,CA,38.248448,-122.0455,NULL,NULL,NULL,NULL
Milan Institute of Cosmetology-Reno,Reno,NV,39.485964,-119.788456,NULL,NULL,NULL,NULL
Milan Institute of Cosmetology-Visalia,Visalia,CA,36.301861,-119.309922,NULL,NULL,NULL,NULL
Ottawa University-Online,Ottawa,KS,38.602351,-95.264165,0.9667,NULL,NULL,NULL
Paul Mitchell the School-Esani,Roswell,GA,34.042224,-84.333674,NULL,NULL,NULL,NULL
Institute of Production and Recording,Minneapolis,MN,44.982063,-93.272011,NULL,NULL,19776,19776
Paul Mitchell the School-Birmingham,Hoover,AL,33.388978,-86.808018,NULL,NULL,NULL,NULL
Taft University System,Lakewood,CO,39.656632,-105.083815,NULL,NULL,NULL,NULL
Mayfield College,Cathedral City,CA,33.790822,-116.458827,NULL,NULL,NULL,NULL
Academy of Esthetics and Cosmetology,San Fernando,CA,34.285043,-118.444228,NULL,NULL,NULL,NULL
Borner's Barber College,Los Angeles,CA,33.95588,-118.309291,NULL,NULL,NULL,NULL
Paul Mitchell the School-Pasadena,Pasadena,CA,34.144765,-118.133403,NULL,NULL,NULL,NULL
San Francisco Institute of Esthetics & Cosmetology Inc,San Francisco,CA,37.777043,-122.407083,NULL,NULL,NULL,NULL
Laurus College,San Luis Obispo,CA,35.2682,-120.669519,NULL,NULL,NULL,NULL
Healing Hands School of Holistic Health,Escondido,CA,33.129652,-117.086211,NULL,NULL,NULL,NULL
Career Development Institute Inc,Los Angeles,CA,34.045817,-118.386067,NULL,NULL,NULL,NULL
Auguste Escoffier School of Culinary Arts-Boulder,Boulder,CO,39.983475,-105.250075,NULL,NULL,NULL,NULL
Aspen University,Denver,CO,39.68614,-104.939111,NULL,NULL,3920,3920
Institute of Taoist Education and Acupuncture,Louisville,CO,39.987288,-105.139444,NULL,NULL,NULL,NULL
National Beauty College,Denver,CO,39.823932,-105.005055,NULL,NULL,NULL,NULL
Denver College of Nursing,Denver,CO,39.75303,-104.994725,NULL,NULL,NULL,NULL
Cambridge College of Healthcare & Technology,Delray Beach,FL,26.438379,-80.123788,NULL,NULL,15190,15190
Cozmo Beauty School,Bonita Springs,FL,26.330412,-81.780821,NULL,NULL,NULL,NULL
Professional Hands Institute,Miami,FL,25.779427,-80.250648,NULL,NULL,NULL,NULL
Celebrity School of Beauty,Miami,FL,25.76084,-80.333114,NULL,NULL,NULL,NULL
Paul Mitchell the School-Atlanta,Atlanta,GA,33.782528,-84.416273,NULL,NULL,NULL,NULL
Evans Hairstyling College-Rexburg,Rexburg,ID,43.824716,-111.812372,NULL,NULL,NULL,NULL
Paul Mitchell the School-Rexburg,Rexburg,ID,43.814348,-111.803591,NULL,NULL,NULL,NULL
University of Aesthetics & Cosmetology,Chicago,IL,41.906602,-87.671255,NULL,NULL,NULL,NULL
The University of Aesthetics & Cosmetology,Downers Grove,IL,41.79354,-88.011242,NULL,NULL,NULL,NULL
Tricoci University of Beauty Culture-Chicago NW,Chicago,IL,41.97766,-87.806767,NULL,NULL,NULL,NULL
Tricoci University of Beauty Culture-Glendale Heights,Glendale Heights,IL,41.90467,-88.065213,NULL,NULL,NULL,NULL
Tricoci University of Beauty Culture-Peoria,Peoria,IL,40.746311,-89.601356,NULL,NULL,NULL,NULL
Tricoci University of Beauty Culture-Rockford,Rockford,IL,42.263898,-89.009435,NULL,NULL,NULL,NULL
Frederick School of Cosmetology,Frederick,MD,39.408356,-77.430698,NULL,NULL,NULL,NULL
Omega Studios' School of Applied Recording Arts & Sciences,Rockville,MD,39.06427,-77.113268,NULL,NULL,NULL,NULL
International Cosmetology Academy,Grand Rapids,MI,42.881218,-85.604522,NULL,NULL,NULL,NULL
French Academy of Cosmetology,Spring Lake,MI,43.075898,-86.198004,NULL,NULL,NULL,NULL
